PERMNO,date,PRC,RETX
66181,02/01/2001,45.5625,-0.002736
66181,03/01/2001,51.4375,0.128944
66181,04/01/2001,51.6875,0.00486
66181,05/01/2001,49.75,-0.037485
66181,08/01/2001,47.6875,-0.041457
66181,09/01/2001,45.875,-0.038008
66181,10/01/2001,47.4375,0.03406
66181,11/01/2001,49.0625,0.034256
66181,12/01/2001,49.125,0.001274
66181,16/01/2001,48.875,-0.005089
66181,17/01/2001,46.375,-0.051151
66181,18/01/2001,44.25,-0.045822
66181,19/01/2001,41,-0.073446
66181,22/01/2001,43.75,0.067073
66181,23/01/2001,44.75,0.022857
66181,24/01/2001,45.0625,0.006983
66181,25/01/2001,46,0.020804
66181,26/01/2001,44.75,-0.027174
66181,29/01/2001,45.5,0.01676
66181,30/01/2001,46,0.010989
66181,31/01/2001,48.2,0.047826
66181,01/02/2001,48.65,0.009336
66181,02/02/2001,46.89,-0.036177
66181,05/02/2001,46.61,-0.005971
66181,06/02/2001,45.65,-0.020596
66181,07/02/2001,45.78,0.002848
66181,08/02/2001,43.99,-0.0391
66181,09/02/2001,44.43,0.010002
66181,12/02/2001,45.73,0.029259
66181,13/02/2001,46.31,0.012683
66181,14/02/2001,45.72,-0.01274
66181,15/02/2001,44.61,-0.024278
66181,16/02/2001,43,-0.036091
66181,20/02/2001,44.09,0.025349
66181,21/02/2001,40.95,-0.071218
66181,22/02/2001,40,-0.023199
66181,23/02/2001,40.01,0.00025
66181,26/02/2001,43.75,0.093477
66181,27/02/2001,44.6,0.019429
66181,28/02/2001,42.5,-0.047085
66181,01/03/2001,41.5,-0.023529
66181,02/03/2001,41.55,0.001205
66181,05/03/2001,41.43,-0.002888
66181,06/03/2001,41.36,-0.00169
66181,07/03/2001,43.7,0.056576
66181,08/03/2001,44.72,0.023341
66181,09/03/2001,44.52,-0.004472
66181,12/03/2001,42.06,-0.055256
66181,13/03/2001,42.7,0.015216
66181,14/03/2001,41.62,-0.025293
66181,15/03/2001,43.2,0.037963
66181,16/03/2001,42.26,-0.021759
66181,19/03/2001,42.5,0.005679
66181,20/03/2001,41.95,-0.012941
66181,21/03/2001,41.5,-0.010727
66181,22/03/2001,40.76,-0.017831
66181,23/03/2001,39.67,-0.026742
66181,26/03/2001,41.35,0.042349
66181,27/03/2001,43.46,0.051028
66181,28/03/2001,43.23,-0.005292
66181,29/03/2001,42.66,-0.013185
66181,30/03/2001,43.1,0.010314
66181,02/04/2001,42.55,-0.012761
66181,03/04/2001,42.6,0.001175
66181,04/04/2001,42.3,-0.007042
66181,05/04/2001,43.96,0.039243
66181,06/04/2001,43.78,-0.004095
66181,09/04/2001,42.19,-0.036318
66181,10/04/2001,43.01,0.019436
66181,11/04/2001,41.5,-0.035108
66181,12/04/2001,41.65,0.003614
66181,16/04/2001,41.5,-0.003601
66181,17/04/2001,41.91,0.00988
66181,18/04/2001,45.61,0.088284
66181,19/04/2001,46.08,0.010305
66181,20/04/2001,46.21,0.002821
66181,23/04/2001,46.19,-0.000433
66181,24/04/2001,45.02,-0.02533
66181,25/04/2001,46.02,0.022212
66181,26/04/2001,47.3,0.027814
66181,27/04/2001,48.1,0.016913
66181,30/04/2001,47.1,-0.02079
66181,01/05/2001,49.24,0.045435
66181,02/05/2001,48.79,-0.009139
66181,03/05/2001,48.51,-0.005739
66181,04/05/2001,49.59,0.022263
66181,07/05/2001,49.09,-0.010083
66181,08/05/2001,50.01,0.018741
66181,09/05/2001,48.51,-0.029994
66181,10/05/2001,49.25,0.015255
66181,11/05/2001,49.88,0.012792
66181,14/05/2001,49.15,-0.014635
66181,15/05/2001,50.1,0.019329
66181,16/05/2001,51.21,0.022156
66181,17/05/2001,52,0.015427
66181,18/05/2001,52.7,0.013462
66181,21/05/2001,53.38,0.012903
66181,22/05/2001,52.99,-0.007306
66181,23/05/2001,52.62,-0.006983
66181,24/05/2001,53.45,0.015774
66181,25/05/2001,52.28,-0.02189
66181,29/05/2001,50.54,-0.033282
66181,30/05/2001,49.99,-0.010882
66181,31/05/2001,49.29,-0.014003
66181,01/06/2001,49.26,-0.000609
66181,04/06/2001,50,0.015022
66181,05/06/2001,50.35,0.007
66181,06/06/2001,49.51,-0.016683
66181,07/06/2001,50.71,0.024238
66181,08/06/2001,50.8,0.001775
66181,11/06/2001,50.73,-0.001378
66181,12/06/2001,51.11,0.007491
66181,13/06/2001,50.51,-0.011739
66181,14/06/2001,49.51,-0.019798
66181,15/06/2001,48.9,-0.012321
66181,18/06/2001,49,0.002045
66181,19/06/2001,49.49,0.01
66181,20/06/2001,49.24,-0.005052
66181,21/06/2001,50.78,0.031275
66181,22/06/2001,50.71,-0.001378
66181,25/06/2001,49,-0.033721
66181,26/06/2001,47.15,-0.037755
66181,27/06/2001,46.85,-0.006363
66181,28/06/2001,47,0.003202
66181,29/06/2001,46.55,-0.009574
